id	persName	qid	dvp_id
dvp_025_person_0	Riley Collins		dvp_0393
dvp_025_person_1	Professor Colin [C.] Blaydon		dvp_0394
dvp_025_person_2	Professor Blaydon		dvp_0394
dvp_025_person_3	Professor Blaydon		dvp_0394
dvp_025_person_4	Riley		dvp_0393
dvp_025_person_5	Adlai Stevenson II	Q311719	
dvp_025_person_6	Dwight D. Eisenhower	Q9916	
dvp_025_person_7	Adlai Stevenson II	Q311719	
dvp_025_person_8	Adlai Stevenson II	Q311719	
dvp_025_person_9	Riley		dvp_0393
dvp_025_person_10	Harvey Brooks		dvp_0395
dvp_025_person_11	Yu-Chi Ho	Q9105347	
dvp_025_person_12	Arthur E. Bryson	Q4798535	
dvp_025_person_13	Harvey Brooks		dvp_0395
dvp_025_person_14	John F. Kennedy	Q9696	
dvp_025_person_15	Harvey Brooks		dvp_0395
dvp_025_person_16	Henry Kissinger	Q66107	
dvp_025_person_17	Alain Enthoven	Q4705651	
dvp_025_person_18	Alain Enthoven	Q4705651	
dvp_025_person_19	Robert McNamara	Q191999	
dvp_025_person_20	Alain Enthoven	Q4705651	
dvp_025_person_21	Alain Enthoven	Q4705651	
dvp_025_person_22	Alain Enthoven	Q4705651	
dvp_025_person_23	Lieutenant Colin Blaydon		dvp_0394
dvp_025_person_24	Captain “Bud”		dvp_0397
dvp_025_person_25	Alain Enthoven	Q4705651	
dvp_025_person_26	Robert McNamara	Q191999	
dvp_025_person_27	Alain Enthoven	Q4705651	
dvp_025_person_28	Alain Enthoven	Q4705651	
dvp_025_person_29	Robert McNamara	Q191999	
dvp_025_person_30	Alain Enthoven	Q4705651	
dvp_025_person_31	Robert McNamara	Q191999	
dvp_025_person_32	Alain Enthoven	Q4705651	
dvp_025_person_33	Cecil John Rhodes	Q19825	
dvp_025_person_34	Robert McNamara	Q191999	
dvp_025_person_35	Lieutenant Blaydon		dvp_0394
dvp_025_person_36	Ivan Selin	Q6097440	
dvp_025_person_37	Alain Enthoven	Q4705651	
dvp_025_person_38	Alain Enthoven	Q4705651	
dvp_025_person_39	Ivan Selin	Q6097440	
dvp_025_person_40	Ivan Selin	Q6097440	
dvp_025_person_41	Ivan Selin	Q6097440	
dvp_025_person_42	John McCain	Q10390	
dvp_025_person_43	Robert McNamara	Q191999	
dvp_025_person_44	Riley		dvp_0393
dvp_025_person_45	Seymour Hersh	Q435792	
dvp_025_person_46	Riley		dvp_0393
dvp_025_person_47	Seymour Hersh	Q435792	
dvp_025_person_48	Seymour Hersh	Q435792	
dvp_025_person_49	Seymour Hersh	Q435792	
dvp_025_person_50	Seymour Hersh	Q435792	
dvp_025_person_51	Seymour Hersh	Q435792	
dvp_025_person_52	Robert McNamara	Q191999	
dvp_025_person_53	Robert McNamara	Q191999	
dvp_025_person_54	Robert McNamara	Q191999	
dvp_025_person_55	William Sloane Coffin	Q332963	
dvp_025_person_56	William Sloane Coffin	Q332963	
dvp_025_person_57	William Sloane Coffin	Q332963	
dvp_025_person_58	Robert McNamara	Q191999	
dvp_025_person_59	Robert McNamara	Q191999	
dvp_025_person_60	Michael Beschloss	Q2814226	
dvp_025_person_61	Robert McNamara	Q191999	
dvp_025_person_62	Lyndon B. Johnson	Q9640	
dvp_025_person_63	Robert McNamara	Q191999	
dvp_025_person_64	Robert McNamara	Q191999	
dvp_025_person_65	Robert McNamara	Q191999	
dvp_025_person_66	Lieutenant Blaydon		dvp_0394
dvp_025_person_67	Captain Blaydon		dvp_0394
dvp_025_person_68	Dr. Blaydon		dvp_0394
dvp_025_person_69	Riley		dvp_0393
dvp_025_person_70	Riley Collins		dvp_0393
dvp_025_person_71	Colin Blaydon		dvp_0394
dvp_025_person_72	Professor Blaydon		dvp_0394
dvp_025_person_73	Roy Ash	Q7372529	
dvp_025_person_74	Roy Ash	Q7372529	
dvp_025_person_75	Julia V. Taft	Q3189068	
dvp_025_person_76	Julia V. Taft	Q3189068	
dvp_025_person_77	William Howard Taft IV	Q8012585	
dvp_025_person_78	William Howard Taft IV	Q8012585	
dvp_025_person_79	Elliot Richardson	Q719808	
dvp_025_person_80	Elliot Richardson	Q719808	
dvp_025_person_81	William Howard Taft IV	Q8012585	
dvp_025_person_82	William Howard Taft IV	Q8012585	
dvp_025_person_83	Caspar Weinberger	Q434142	
dvp_025_person_84	William Howard Taft IV	Q8012585	
dvp_025_person_85	Julia V. Taft	Q3189068	
dvp_025_person_86	[Joseph A.] “Joe” Massey		dvp_0396
dvp_025_person_87	Joe		dvp_0396
dvp_025_person_88	Truong Gia Binh	Q7847998	
dvp_025_person_89	Võ Nguyên Giáp	Q179910	
dvp_025_person_90	Trấn Thị Bình	Q51798977	
dvp_025_person_91	Võ Nguyên Giáp	Q179910	
dvp_025_person_92	Riley		dvp_0393
