id	persName	QID	dvp_id
dvp_079_person_0	Emily Smid		dvp_0384
dvp_079_person_1	John [A.] Calhoun		dvp_0790
dvp_079_person_2	John		dvp_0790
dvp_079_person_3	Rochester		
dvp_079_person_4	Lyndon B. Johnson	Q9640	
dvp_079_person_5	John F. Kennedy	Q9696	
dvp_079_person_6	Lyndon B. Johnson	Q9640	
dvp_079_person_7	Lloyd [M.] Bentsen [III]		dvp_0791
dvp_079_person_8	Lloyd Bentsen	Q455401	
dvp_079_person_9	George W. Bush	Q207	
dvp_079_person_10	Martin Luther King Jr.	Q8027	
dvp_079_person_11	Martin Luther King Jr.	Q8027	
dvp_079_person_12	Martin Luther King Jr.	Q8027	
dvp_079_person_13	Richard J. Daley	Q295267	
dvp_079_person_14	Martin Luther King Jr.	Q8027	
dvp_079_person_15	Fort Jackson		
dvp_079_person_16	Harry S Truman	Q11613	
dvp_079_person_17	Cornelia J. Calhoun	Q36522441	
dvp_079_person_18	Cornelia J. Calhoun	Q36522441	
dvp_079_person_19	Captain Harvey [P.] Kelly		dvp_0792
dvp_079_person_20	Capt. Kelly		dvp_0792
dvp_079_person_21	Kelly		dvp_0792
dvp_079_person_22	John Kerry	Q22316	
dvp_079_person_23	James Rassman	Q6141866	
dvp_079_person_24	James Rassman	Q6141866	
dvp_079_person_25	John Kerry	Q22316	
dvp_079_person_26	John Kerry	Q22316	
dvp_079_person_27	John Kerry	Q22316	
dvp_079_person_28	John Wayne	Q40531	
