id	persName	QID	dvp_id
dvp_097_person_0	Ali Hunter		dvp_0930
dvp_097_person_1	Jim Grant		dvp_0931
dvp_097_person_2	Jim		dvp_0931
dvp_097_person_3	ROTC		
dvp_097_person_4	Hyman G. Rickover	Q541637	
dvp_097_person_5	James Wright	Q3161056	
dvp_097_person_6	J. Harvie Wilkinson III	Q15512910	
dvp_097_person_7	B. G. Burkett	Q4833988	
dvp_097_person_8	Mark Bowden	Q2273582	
dvp_097_person_9	Richard Nixon	Q9588	
dvp_097_person_10	William Westmoreland	Q298793	
dvp_097_person_11	Richard Saltman [‘69]		dvp_1006
dvp_097_person_12	Richard Nixon	Q9588	
dvp_097_person_13	Mr. Grant		dvp_0931
dvp_097_person_14	Mr. Grant		dvp_0931
dvp_097_person_15	Martha		dvp_0932
dvp_097_person_16	Martha		dvp_0932
dvp_097_person_17	Martha		dvp_0932
dvp_097_person_18	Richard Nixon	Q9588	
dvp_097_person_19	Jim		dvp_0931
dvp_097_person_20	Martha		dvp_0932
dvp_097_person_21	Martha		dvp_0932
dvp_097_person_22	Martha		dvp_0932
dvp_097_person_23	Mary Hitchcock		
