id	persName	QID	dvp_id
dvp_035_person_0	Josh Pearl		dvp_1006
dvp_035_person_1	David Johnston		dvp_1101
dvp_035_person_2	Mr. Johnston		dvp_1101
dvp_035_person_3	David		dvp_1101
dvp_035_person_4	George Washington	Q23	
dvp_035_person_5	Mrs. Lobar		dvp_1102
dvp_035_person_6	David		dvp_1101
dvp_035_person_7	“Pop” Campbell		dvp_1103
dvp_035_person_8	George Johnston		dvp_1104
dvp_035_person_9	John [Johnston]		dvp_1105
dvp_035_person_10	John		dvp_1105
dvp_035_person_11	John		dvp_1105
dvp_035_person_12	John		dvp_1105
dvp_035_person_13	George		dvp_1104
dvp_035_person_14	Robert Ballard	Q312867	
dvp_035_person_15	Susan McAllister [Johnston]		dvp_1106
dvp_035_person_16	Sadie [Johnston]		dvp_1107
dvp_035_person_17	Herb [Johnston]		dvp_1109
dvp_035_person_18	David [Johnston]		dvp_1108
dvp_035_person_19	Uncle David’s		dvp_1108
dvp_035_person_20	Barbara Anne		dvp_1110
dvp_035_person_21	Barbara Anne Stuart		dvp_1110
dvp_035_person_22	Uncle David		dvp_1108
dvp_035_person_23	Herb		dvp_1109
dvp_035_person_24	Joy [Johnston Hodgen]		dvp_1111
dvp_035_person_25	Richard [B. Johnston		dvp_1112
dvp_035_person_26	John McAlister Johnston		dvp_1113
dvp_035_person_27	Blanche Hazel Berry (B-e-r-r-y) [Johnston]		dvp_1114
dvp_035_person_28	Berry		dvp_1114
dvp_035_person_29	Johnston		dvp_1101
dvp_035_person_30	Blanche		dvp_1114
dvp_035_person_31	Blanche Johnston		dvp_1114
dvp_035_person_32	Joy		dvp_1111
dvp_035_person_33	Richard		dvp_1112
dvp_035_person_34	Dick		dvp_1112
dvp_035_person_35	Dick		dvp_1112
dvp_035_person_36	Katharine Merry	Q450931	
dvp_035_person_37	Eileen de Coppet, Princess of Albania	Q22958723	
dvp_035_person_38	Malcolm X	Q43303	
dvp_035_person_39	Paul Douglas	Q1372141	
dvp_035_person_40	David		dvp_1101
dvp_035_person_41	Michael Schwerner	Q1354034	
