id	persName	QID	dvp_id
dvp_010_person_0	Hannah Chung		dvp_0565
dvp_010_person_1	Bruce Jolly		dvp_0566
dvp_010_person_2	Bruce Jolly		dvp_0566
dvp_010_person_3	Jolly		dvp_0566
dvp_010_person_4	Joseph Whitehorne	Q94661560	
dvp_010_person_5	[Louis C.] “Lou” Morton		dvp_0567
dvp_010_person_6	Morton		dvp_0567
dvp_010_person_7	William R. Brown	Q101500331	
dvp_010_person_8	William R. Brown	Q101500331	
dvp_010_person_9	Elvis Presley	Q303	
dvp_010_person_10	Elvis Presley	Q303	
dvp_010_person_11	Bob Dylan	Q392	
dvp_010_person_12	Martin Luther King Jr.	Q8027	
dvp_010_person_13	Martin Luther King Jr.	Q8027	
dvp_010_person_14	John Wayne	Q40531	
dvp_010_person_15	John Wayne	Q40531	
dvp_010_person_16	Nguyen		
dvp_010_person_17	Jolly		dvp_0566
dvp_010_person_18	Ben		dvp_0568
dvp_010_person_19	Neil Armstrong	Q1615	
dvp_010_person_20	Bob Hope	Q94081	
dvp_010_person_21	Bob Hope	Q94081	
dvp_010_person_22	Bob Hope	Q94081	
dvp_010_person_23	Bob Hope	Q94081	
dvp_010_person_24	Bob Hope	Q94081	
dvp_010_person_25	Neil Armstrong	Q1615	
dvp_010_person_26	Neil Armstrong	Q1615	
dvp_010_person_27	Bob Hope	Q94081	
dvp_010_person_28	Ben Richardson		dvp_0568
dvp_010_person_29	Hill		
dvp_010_person_30	Hill		
dvp_010_person_31	Richard Nixon	Q9588	
dvp_010_person_32	Richard Nixon	Q9588	
dvp_010_person_33	Hannah		dvp_0565
dvp_010_person_34	Jolly		dvp_0566
dvp_010_person_35	Jolly		dvp_0566
dvp_010_person_36	Ho Chi Minh [City]		
dvp_010_person_37	Bob Hope	Q94081	
