id	persName	QID	dvp_id
dvp_011_person_0	Paul Danyow		dvp_0737
dvp_011_person_1	Calvin Jones		dvp_0738
dvp_011_person_2	Mr. Jones		dvp_0738
dvp_011_person_3	Paul		dvp_0737
dvp_011_person_4	Georgianna		dvp_739
dvp_011_person_5	Calvin Sr		dvp_740
dvp_011_person_6	Mr. Jones		dvp_0738
dvp_011_person_7	Mr. Jones		dvp_0738
dvp_011_person_8	Richard Nixon	Q9588	
dvp_011_person_9	Lyndon B. Johnson	Q9640	
dvp_011_person_10	Richard Nixon	Q9588	
dvp_011_person_11	Melvin Laird	Q499056	
dvp_011_person_12	William Westmoreland	Q298793	
dvp_011_person_13	George W. Bush	Q207	
dvp_011_person_14	[Donald W.] “Don” McNemar		dvp_741
dvp_011_person_15	[Richard F.] “Dick” Winters		dvp_742
dvp_011_person_16	Mr. Jones		dvp_0738
dvp_011_person_17	Richard Nixon	Q9588	
dvp_011_person_18	Leo Strauss	Q77144	
dvp_011_person_19	Joseph Cropsey	Q6282340	
dvp_011_person_20	Mr. Jones		dvp_0738
