id	persName	QID	dvp_id
dvp_015_person_0	Emily Burack		dvp_0116
dvp_015_person_1	Fran Oscadal		dvp_0268
dvp_015_person_2	Fran		dvp_0268
dvp_015_person_3	Emily		dvp_0116
dvp_015_person_4	John Sheehan		dvp_0269
dvp_015_person_5	Cyril [F.] Francis		dvp_0270
dvp_015_person_6	“Cy”		dvp_0270
dvp_015_person_7	“Frank,”		dvp_0270
dvp_015_person_8	Margaret		dvp_0271
dvp_015_person_9	Sheehan		dvp_0271
dvp_015_person_10	John [M. Oscadal]		dvp_0272
dvp_015_person_11	[Martin G.] “Marty” [Oscadal]		dvp_0273
dvp_015_person_12	Frederick Law Olmsted	Q364187	
dvp_015_person_13	Rick Atkinson	Q7331205	
dvp_015_person_14	John F. Kennedy	Q9696	
dvp_015_person_15	John F. Kennedy	Q9696	
dvp_015_person_16	Dwight D. Eisenhower	Q9916	
dvp_015_person_17	John F. Kennedy	Q9696	
dvp_015_person_18	John F. Kennedy	Q9696	
dvp_015_person_19	Lyndon B. Johnson	Q9640	
dvp_015_person_20	John F. Kennedy	Q9696	
dvp_015_person_21	Barry Goldwater	Q319129	
dvp_015_person_22	Lyndon B. Johnson	Q9640	
dvp_015_person_23	Lyndon B. Johnson	Q9640	
dvp_015_person_24	John F. Kennedy	Q9696	
dvp_015_person_25	Dwight D. Eisenhower	Q9916	
dvp_015_person_26	Adlai Stevenson II	Q311719	
dvp_015_person_27	John F. Kennedy	Q9696	
dvp_015_person_28	Lyndon B. Johnson	Q9640	
dvp_015_person_29	John F. Kennedy	Q9696	
dvp_015_person_30	Lyndon B. Johnson	Q9640	
dvp_015_person_31	Lyndon B. Johnson	Q9640	
dvp_015_person_32	Henry Luce	Q516473	
dvp_015_person_33	David Halberstam	Q467156	
dvp_015_person_34	David Halberstam	Q467156	
dvp_015_person_35	John F. Kennedy	Q9696	
dvp_015_person_36	Marguerite Higgins	Q529290	
dvp_015_person_37	Bernard B. Fall	Q213957	
dvp_015_person_38	Barry Goldwater	Q319129	
dvp_015_person_39	Barry Goldwater	Q319129	
dvp_015_person_40	Constantine the Great	Q8413	
dvp_015_person_41	Michael Walzer	Q445511	
dvp_015_person_42	Roland Bainton	Q7360158	
dvp_015_person_43	Mahatma Gandhi	Q1001	
dvp_015_person_44	Joan Bondurant	Q13563069	
dvp_015_person_45	Mahatma Gandhi	Q1001	
dvp_015_person_46	Berrigan brothers [David J. and Philip F. Berrigan]		
dvp_015_person_47	Jesus		
dvp_015_person_48	Mahatma Gandhi	Q1001	
dvp_015_person_49	Larry Scott Butler	Q105574320	
dvp_015_person_50	Larry Scott Butler	Q105574320	
dvp_015_person_51	Jesus		
dvp_015_person_52	Larry Scott Butler	Q105574320	
dvp_015_person_53	Larry Scott Butler	Q105574320	
dvp_015_person_54	Mike		
dvp_015_person_55	Lyndon B. Johnson	Q9640	
dvp_015_person_56	Walter Cronkite	Q31073	
dvp_015_person_57	Walter Cronkite	Q31073	
dvp_015_person_58	Richard Nixon	Q9588	
dvp_015_person_59	Richard Nixon	Q9588	
dvp_015_person_60	Stephen T. Banko III	Q106388608	
dvp_015_person_61	Stephen T. Banko III	Q106388608	
dvp_015_person_62	Stephen T. Banko III	Q106388608	
dvp_015_person_63	Richard Nixon	Q9588	
dvp_015_person_64	Henry Kissinger	Q66107	
dvp_015_person_65	Richard Nixon	Q9588	
dvp_015_person_66	Richard Nixon	Q9588	
dvp_015_person_67	Richard Nixon	Q9588	
dvp_015_person_68	Richard Nixon	Q9588	
dvp_015_person_69	Richard Nixon	Q9588	
dvp_015_person_70	George McGovern	Q331742	
dvp_015_person_71	Richard Nixon	Q9588	
dvp_015_person_72	Joanne [Farrell Oscadal]		dvp_0274
dvp_015_person_73	Joanne		dvp_0274
dvp_015_person_74	Joanne		dvp_0274
dvp_015_person_75	Joanne		dvp_0274
dvp_015_person_76	Joanne		dvp_0274
dvp_015_person_77	Joanne		dvp_0274
dvp_015_person_78	Joanne		dvp_0274
dvp_015_person_79	Emily		dvp_0116
