id	persName	QID	dvp_id
dvp_049_person_0	Tim Harrison		dvp_0006
dvp_049_person_1	Professor Richard Parker		dvp_0538
dvp_049_person_2	Professor Parker		dvp_0538
dvp_049_person_3	Margaret Lambertson [Parker]		dvp_0539
dvp_049_person_4	[the Rev. Dr.] Richard Parker		dvp_0540
dvp_049_person_5	Richard Nixon	Q9588	
dvp_049_person_6	John F. Kennedy	Q9696	
dvp_049_person_7	Joseph McCarthy	Q189197	
dvp_049_person_8	John [H.] Sigler [Class of 1953]		dvp_0541
dvp_049_person_9	Sigler		dvp_0541
dvp_049_person_10	John Sloan Dickey	Q3182471	
dvp_049_person_11	Sigler		dvp_0541
dvp_049_person_12	Sigler		dvp_0541
dvp_049_person_13	John George Kemeny	Q28900	
dvp_049_person_14	[Robert B.] Reich		dvp_0524
dvp_049_person_15	John [M.] Isaacson		dvp_0542
dvp_049_person_16	[Thomas J.] “Tom” Brewer		dvp_0543
dvp_049_person_17	Tim		dvp_0006
dvp_049_person_18	Tim		dvp_0006
dvp_049_person_19	John F. Kennedy	Q9696	
dvp_049_person_20	John F. Kennedy	Q9696	
dvp_049_person_21	John F. Kennedy	Q9696	
dvp_049_person_22	Abraham Lincoln	Q91	
dvp_049_person_23	Theodore Roosevelt	Q33866	
dvp_049_person_24	Herbert Hoover	Q35236	
dvp_049_person_25	Harry S. Truman	Q11613	
dvp_049_person_26	Thomas E. Dewey	Q320061	
dvp_049_person_27	Thomas E. Dewey	Q320061	
dvp_049_person_28	Thomas E. Dewey	Q320061	
dvp_049_person_29	Thomas E. Dewey	Q320061	
dvp_049_person_30	Lyndon B. Johnson	Q9640	
dvp_049_person_31	John F. Kennedy	Q9696	
dvp_049_person_32	Barry Goldwater	Q319129	
dvp_049_person_33	Tim		dvp_0006
dvp_049_person_34	Barry Goldwater	Q319129	
dvp_049_person_35	Michael Dukakis	Q319099	
dvp_049_person_36	Tim		dvp_0006
dvp_049_person_37	Martin Luther King Jr.	Q8027	
dvp_049_person_38	Martin Luther King Jr.	Q8027	
dvp_049_person_39	Theodore Parker	Q709002	
dvp_049_person_40	Lyndon B. Johnson	Q9640	
dvp_049_person_41	Barry Goldwater	Q319129	
dvp_049_person_42	Nelson Rockefeller	Q11237	
dvp_049_person_43	Jacob Koppel Javits	Q1875906	
dvp_049_person_44	Jacob Koppel Javits	Q1875906	
dvp_049_person_45	Jacob Koppel Javits	Q1875906	
dvp_049_person_46	Hillary Clinton	Q6294	
dvp_049_person_47	Chuck Schumer	Q380900	
dvp_049_person_48	“Doc” Dey [pronounced DYE], Charles [F.] D-e-y [Class of 1952]		dvp_0515
dvp_049_person_49	Doc		dvp_0515
dvp_049_person_50	Doc		dvp_0515
dvp_049_person_51	Doc		dvp_0515
dvp_049_person_52	John [U.] Monro		dvp_0544
dvp_049_person_53	Doc Dey		dvp_0515
dvp_049_person_54	Butch Watkins		dvp_0545
dvp_049_person_55	Dey		dvp_0515
dvp_049_person_56	John D. Rockefeller	Q160278	
dvp_049_person_57	Butch		dvp_0545
dvp_049_person_58	Butch		dvp_0545
dvp_049_person_59	Butch		dvp_0545
dvp_049_person_60	Doc Dey		dvp_0515
dvp_049_person_61	Butch		dvp_0545
dvp_049_person_62	Tim		dvp_0006
dvp_049_person_63	Lyndon B. Johnson	Q9640	
dvp_049_person_64	John F. Kennedy	Q9696	
dvp_049_person_65	John F. Kennedy	Q9696	
dvp_049_person_66	Franklin Delano Roosevelt	Q8007	
dvp_049_person_67	Barry Goldwater	Q319129	
dvp_049_person_68	Lyndon B. Johnson	Q9640	
dvp_049_person_69	Tim		dvp_0006
dvp_049_person_70	Theodore Roosevelt	Q33866	
dvp_049_person_71	John F. Kennedy	Q9696	
dvp_049_person_72	Theodore Roosevelt	Q33866	
dvp_049_person_73	John F. Kennedy	Q9696	
dvp_049_person_74	Lyndon B. Johnson	Q9640	
dvp_049_person_75	John F. Kennedy	Q9696	
dvp_049_person_76	Adolf Hitler	Q352	
dvp_049_person_77	Hồ Chí Minh	Q36014	
dvp_049_person_78	Benito Mussolini	Q23559	
dvp_049_person_79	Bob Reich		dvp_0524
dvp_049_person_80	Richard Fariña	Q1931654	
dvp_049_person_81	Richard Brautigan	Q357114	
dvp_049_person_82	James Baldwin	Q273210	
dvp_049_person_83	Bob		dvp_0524
dvp_049_person_84	François Truffaut	Q53002	
dvp_049_person_85	Reich		dvp_0524
dvp_049_person_86	John Isaacson		dvp_0542
dvp_049_person_87	Karl Marx	Q9061	
dvp_049_person_88	Tim		dvp_0006
dvp_049_person_89	Karl Marx	Q9061	
dvp_049_person_90	[Christopher E.] “Chris” Hitchens		dvp_0546
dvp_049_person_91	Reich		dvp_0524
dvp_049_person_92	[Henry M.] “Hank” Paulson [Jr., Class of 1968]		dvp_0547
dvp_049_person_93	Hank		dvp_0547
dvp_049_person_94	Reich		dvp_0524
dvp_049_person_95	Hank		dvp_0547
dvp_049_person_96	Richard Nixon	Q9588	
dvp_049_person_97	Richard Nixon	Q9588	
dvp_049_person_98	Eugene McCarthy	Q380550	
dvp_049_person_99	Lyndon B. Johnson	Q9640	
dvp_049_person_100	Reich		dvp_0524
dvp_049_person_101	Robert F. Kennedy	Q25310	
dvp_049_person_102	John Monro		dvp_0544
dvp_049_person_103	Doc Dey		dvp_0515
dvp_049_person_104	[Christopher Z.] “Guy” Mhone [pronounced muh-HOE-nee; Class of 1968], M-h-o-n-e		dvp_0548
dvp_049_person_105	Miles		
dvp_049_person_106	Guy		dvp_0548
dvp_049_person_107	Guy		dvp_0548
dvp_049_person_108	Guy		dvp_0548
dvp_049_person_109	Guy		dvp_0548
dvp_049_person_110	Guy		dvp_0548
dvp_049_person_111	Joseph McCarthy	Q189197	
dvp_049_person_112	Joseph McCarthy	Q189197	
dvp_049_person_113	Joseph McCarthy	Q189197	
dvp_049_person_114	Joseph McCarthy	Q189197	
dvp_049_person_115	Lyndon B. Johnson	Q9640	
dvp_049_person_116	Lyndon B. Johnson	Q9640	
dvp_049_person_117	Lyndon B. Johnson	Q9640	
dvp_049_person_118	Lyndon B. Johnson	Q9640	
dvp_049_person_119	Joseph McCarthy	Q189197	
dvp_049_person_120	Joseph McCarthy	Q189197	
dvp_049_person_121	David [C.] Hoeh		dvp_0618
dvp_049_person_122	Lyndon B. Johnson	Q9640	
dvp_049_person_123	Joseph McCarthy	Q189197	
dvp_049_person_124	Joseph McCarthy	Q189197	
dvp_049_person_125	Joseph McCarthy	Q189197	
dvp_049_person_126	Lyndon B. Johnson	Q9640	
dvp_049_person_127	Joseph McCarthy	Q189197	
dvp_049_person_128	Joseph McCarthy	Q189197	
dvp_049_person_129	Lyndon B. Johnson	Q9640	
dvp_049_person_130	Joseph McCarthy	Q189197	
dvp_049_person_131	Joseph McCarthy	Q189197	
dvp_049_person_132	George Wallace	Q313776	
dvp_049_person_133	George Wallace	Q313776	
dvp_049_person_134	George Wallace	Q313776	
dvp_049_person_135	Martin Luther King Jr.	Q8027	
dvp_049_person_136	Robert F. Kennedy	Q25310	
dvp_049_person_137	Richard Nixon	Q9588	
dvp_049_person_138	Jake Javits	Q1875906	
dvp_049_person_139	Joseph McCarthy	Q189197	
dvp_049_person_140	Joseph McCarthy	Q189197	
dvp_049_person_141	Joseph McCarthy	Q189197	
dvp_049_person_142	Joseph McCarthy	Q189197	
dvp_049_person_143	Sam [W.] Brown [Jr.]	Q7407266	
dvp_049_person_144	Theodore Parker	Q709002	
dvp_049_person_145	Eugene McCarthy	Q380550	
dvp_049_person_146	Reich		dvp_0524
dvp_049_person_147	Reich		dvp_0524
dvp_049_person_148	Leon Sullivan	Q2460277	
dvp_049_person_149	Reich		dvp_0524
dvp_049_person_150	Thaddeus Seymour	Q19594809	
dvp_049_person_151	Thaddeus Seymour	Q19594809	
dvp_049_person_152	Thaddeus Seymour	Q19594809	
dvp_049_person_153	Thaddeus Seymour	Q19594809	
dvp_049_person_154	John Sloan Dickey	Q3182471	
dvp_049_person_155	Bob		dvp_0524
dvp_049_person_156	George Wallace	Q313776	
dvp_049_person_157	Franklin Delano Roosevelt	Q8007	
dvp_049_person_158	Reich		dvp_0524
dvp_049_person_159	Parker		dvp_0538
