id	persName	QID	dvp_id
dvp_065_person_0	Benjamin Weinstock		dvp_0417
dvp_065_person_1	[G. Theodore] “Ted” Talbot		dvp_1047
dvp_065_person_2	Ted Talbot		dvp_1047
dvp_065_person_3	Mr. Talbot		dvp_1047
dvp_065_person_4	George [S.]		dvp_1048
dvp_065_person_5	Alice [Talbot]		dvp_1049
dvp_065_person_6	[Philip S.] “Phil.”		dvp_1050
dvp_065_person_7	Harry S Truman	Q11613	
dvp_065_person_8	Franklin Delano Roosevelt	Q8007	
dvp_065_person_9	Harry S Truman	Q11613	
dvp_065_person_10	Franklin Delano Roosevelt	Q8007	
dvp_065_person_11	Franklin Delano Roosevelt	Q8007	
dvp_065_person_12	John F. Kennedy	Q9696	
dvp_065_person_13	Richard Nixon	Q9588	
dvp_065_person_14	Richard Nixon	Q9588	
dvp_065_person_15	Richard Nixon	Q9588	
dvp_065_person_16	John F. Kennedy	Q9696	
dvp_065_person_17	[Robert P.] “Bob” Owens [Class of 1965, Tuck 1967]		dvp_1051
dvp_065_person_18	Ngo Dinh Diem	Q192502	
dvp_065_person_19	Bob		dvp_1051
dvp_065_person_20	Lyndon B. Johnson	Q9640	
dvp_065_person_21	Lyndon B. Johnson	Q9640	
dvp_065_person_22	Lyndon B. Johnson	Q9640	
dvp_065_person_23	John Denver	Q105460	
dvp_065_person_24	John Denver	Q105460	
dvp_065_person_25	Major Trung		dvp_1066
dvp_065_person_26	Major Trung		dvp_1066
dvp_065_person_27	Gerald Cannon Hickey	Q55940885	
dvp_065_person_28	Gerald Cannon Hickey	Q55940885	
dvp_065_person_29	Gerald Cannon Hickey	Q55940885	
dvp_065_person_30	Ho Chi Minh	Q36014	
dvp_065_person_31	Ho Chi Minh	Q36014	
dvp_065_person_32	Ho Chi Minh	Q36014	
dvp_065_person_33	Ho Chi Minh	Q36014	
dvp_065_person_34	Ho Chi Minh	Q36014	
dvp_065_person_35	Richard Nixon	Q9588	
dvp_065_person_36	Ho Chi Minh	Q36014	
dvp_065_person_37	Le Duan	Q466001	
dvp_065_person_38	Le Duan	Q466001	
dvp_065_person_39	Ho Chi Minh	Q36014	
dvp_065_person_40	Lyndon B. Johnson	Q9640	
dvp_065_person_41	Lyndon B. Johnson	Q9640	
dvp_065_person_42	Mr. Talbot		dvp_1047
